"filename", "language", "JSON", "PostCSS", "Markdown", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\SECURITY.md", "Markdown", 0, 0, 105, 0, 0, 0, 0, 45, 150
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\package-lock.json", "JSON", 17845, 0, 0, 0, 0, 0, 0, 1, 17846
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\public\index.html", "HTML", 0, 0, 0, 0, 0, 26, 25, 2, 53
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\App.css", "PostCSS", 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\App.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\AgregarCategoria.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 13, 82
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\BarraBusqueda.js", "JavaScript", 0, 0, 0, 107, 0, 0, 1, 17, 125
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\CartaEvento.js", "JavaScript", 0, 0, 0, 71, 0, 0, 0, 12, 83
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\CompraBoleta.js", "JavaScript", 0, 0, 0, 193, 0, 0, 3, 26, 222
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\EditarCategoria.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 4, 59
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\EditarEvento.js", "JavaScript", 0, 0, 0, 237, 0, 0, 2, 31, 270
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\EliminarEvento.js", "JavaScript", 0, 0, 0, 91, 0, 0, 1, 9, 101
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\EspecificacionDeCompra.js", "JavaScript", 0, 0, 0, 333, 0, 0, 4, 31, 368
